"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change"
"ALAD",-0.623877921909738,6.46045265124077,-4.30331574187621,2.100494384423e-05,5.77738385546514e-05,1.60032379110295,"DOWN"
"MAGEA3",1.45951532710367,1.40028542159398,4.29883420489872,2.14155844219734e-05,5.88606639899536e-05,1.58188976715831,"UP"
"SOX18",0.564618817694101,3.52180315200805,4.2988137537586,2.14174758103034e-05,5.88606639899536e-05,1.58180568520658,"UP"
"APBA1",-0.619702480387211,1.69610047775877,-4.29663785779332,2.16196241170302e-05,5.94065702637656e-05,1.57286188871458,"DOWN"
"HLA-C",0.696297814648102,9.84370768323641,4.29253140921857,2.20061039969105e-05,6.04194849475456e-05,1.55599403841686,"UP"
"FOXRED2",0.518695775847927,3.95816325910983,4.2885158135439,2.23904097308022e-05,6.14247929725849e-05,1.53951364866304,"UP"
"NAV2",-0.542535026456384,2.61387392774648,-4.27830802635712,2.33964009936818e-05,6.40288696771939e-05,1.49768345391306,"DOWN"
"FAT1",0.718708093143175,3.98455955677155,4.27589514941133,2.36404241526377e-05,6.46862252727657e-05,1.48780912758142,"UP"
"SLC25A42",-0.689641759332365,5.18106121491212,-4.27335881917115,2.3899551964159e-05,6.53846918004099e-05,1.47743508508027,"DOWN"
"CCNB1IP1",-0.661941023376024,4.3137202229425,-4.26913910486983,2.43366851141632e-05,6.65053373412073e-05,1.46018818925576,"DOWN"
"CTXN1",0.583046690060329,0.929422434260252,4.26565457347547,2.47034029992065e-05,6.7453006640241e-05,1.44595790829986,"UP"
"CHST1",0.514060837102992,1.38461409886574,4.26239472883008,2.5051246309641e-05,6.83696998073283e-05,1.43265484719583,"UP"
"FGB",-1.18007936863014,11.3868799646001,-4.26123416041139,2.51762102379597e-05,6.86872972956092e-05,1.42792094585389,"DOWN"
"MYMX",0.506398431701317,0.642538531291407,4.26074827674784,2.52287041756195e-05,6.87985339815726e-05,1.42593940100628,"UP"
"ZNF320",0.528490321814243,1.23202938448123,4.25898221879035,2.54203871689888e-05,6.92989159475527e-05,1.41873875559166,"UP"
"APBB1IP",-0.773457062973053,3.73124059111906,-4.25731076762153,2.56030817538498e-05,6.97632441798539e-05,1.41192636376148,"DOWN"
"LPCAT3",-0.661139331947131,2.97254401862885,-4.25714362024136,2.56214202397362e-05,6.98019726093344e-05,1.41124525008845,"DOWN"
"EPSTI1",-0.695091201764207,2.38373725823762,-4.25683356426098,2.56554710732251e-05,6.98834877704511e-05,1.40998185891657,"DOWN"
"MGST1",-0.849762495151751,7.39084570717359,-4.25470037618779,2.58909147853225e-05,7.04794351805731e-05,1.40129200095551,"DOWN"
"FBXW10",0.505948683821792,0.513972123337289,4.25412208612368,2.59550961539317e-05,7.06427830176418e-05,1.39893693818452,"UP"
"DKK1",1.33212809118396,1.49827107846057,4.25343023347594,2.60320807671336e-05,7.08295286477999e-05,1.39611978176122,"UP"
"NEU4",-1.23092842894665,3.20292316425388,-4.25234912307915,2.61528158592209e-05,7.10903247150935e-05,1.39171844637908,"DOWN"
"MTRNR2L12",-0.610954640118186,1.89616306365294,-4.25076689809753,2.63304778021038e-05,7.15573473106161e-05,1.38527885910987,"DOWN"
"CYP27A1",-0.839838866683998,8.54988061080522,-4.25064796856181,2.63438783856329e-05,7.15743041366882e-05,1.38479490977725,"DOWN"
"DYNLRB1",0.597359554716902,3.02787564109466,4.24443516033547,2.70530401196926e-05,7.33832144702339e-05,1.35953094066508,"UP"
"IRS2",-0.702480743995434,4.61004224346141,-4.24078999013456,2.74775602046857e-05,7.44631320024804e-05,1.3447238661234,"DOWN"
