"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPBP1",1.19230208376451e-175,1.11382875786984,0.647,0.552,2.48082294568883e-171,"Low","GPBP1"
"EPC1",1.19714740528806e-173,1.56659451468175,0.548,0.417,2.49090460618287e-169,"Low","EPC1"
"ARGLU1",2.14615512195866e-173,1.24373851650929,0.62,0.519,4.46550496225938e-169,"Low","ARGLU1"
"ADGRE5",1.32242719035028e-172,1.14638445299637,0.688,0.594,2.75157425496183e-168,"Low","ADGRE5"
"PYHIN1",8.81561001255482e-170,3.31800770543022,0.293,0.071,1.83426397531228e-165,"Low","PYHIN1"
"RAC2",1.04728843845564e-169,1.04755237265396,0.69,0.579,2.17909305389465e-165,"Low","RAC2"
"CD53",1.7506112662962e-169,0.91508509261391,0.694,0.587,3.64249686178251e-165,"Low","CD53"
"PRPF38B",5.55177185256865e-168,1.47509827073727,0.55,0.416,1.15515716936396e-163,"Low","PRPF38B"
"PTPRC",3.00231211028218e-166,0.730208356764941,0.84,0.626,6.24691080786413e-162,"Low","PTPRC"
"DNAJB1",7.57473365603893e-166,1.55426122520218,0.752,0.689,1.57607483181202e-161,"Low","DNAJB1"
"TMA7",3.11241017066153e-165,0.700767496209754,0.787,0.752,6.47599184209545e-161,"Low","TMA7"
"RPL31",1.60826198883533e-164,0.708493554340063,0.791,0.745,3.34631072016967e-160,"Low","RPL31"
"PTGER4",1.28839754278708e-163,1.58145077323283,0.524,0.356,2.68076876727708e-159,"Low","PTGER4"
"LMNA",1.696673858335e-162,1.61028729672273,0.57,0.421,3.53026929703764e-158,"Low","LMNA"
"EML4",2.64408667695782e-162,1.98610049071799,0.45,0.27,5.50155114874613e-158,"Low","EML4"
"SRRM1",1.86088470627122e-161,1.06218698222091,0.657,0.58,3.87194280833852e-157,"Low","SRRM1"
"PRKCH",1.14943531075799e-160,2.88079259928837,0.297,0.082,2.39163005109414e-156,"Low","PRKCH"
"CD160",3.80866207122257e-159,3.42802155288771,0.276,0.064,7.92468317159281e-155,"Low","CD160"
"RPL39",5.5222727675958e-159,0.409435049493054,0.99,0.941,1.14901929475366e-154,"Low","RPL39"
"CCNH",1.41056064716338e-158,1.85511944436293,0.477,0.319,2.93495353855284e-154,"Low","CCNH"
"CBLB",3.76378925492894e-157,2.82488056067822,0.303,0.092,7.83131630273064e-153,"Low","CBLB"
"TAGLN2",7.19542512131129e-157,0.794895803601926,0.792,0.726,1.49715210499124e-152,"Low","TAGLN2"
"AC245297.3",3.72957437291928e-155,2.53826857932449,0.349,0.146,7.76012539773315e-151,"Low","AC245297.3"
"TXK",4.96449575383707e-155,3.09600304671388,0.27,0.061,1.03296263150088e-150,"Low","TXK"
"SPTAN1",9.18618070874911e-154,2.24026671862469,0.402,0.216,1.91136862006943e-149,"Low","SPTAN1"
"IDI1",2.1336808491461e-153,1.75592166579828,0.46,0.293,4.43954974281828e-149,"Low","IDI1"
"RPS20",3.814506333107e-153,0.590389867207221,0.872,0.798,7.93684332729573e-149,"Low","RPS20"
"HLA-E",5.26418904362844e-153,0.452118950638408,0.975,0.873,1.09531981430777e-148,"Low","HLA-E"
"CCND2",7.52842199931608e-153,2.7489087481249,0.33,0.126,1.5664387653977e-148,"Low","CCND2"
"TMIGD2",9.64844093381486e-153,3.66360815825441,0.258,0.053,2.00755110509886e-148,"Low","TMIGD2"
"PRRC2C",1.09163678014582e-152,1.03705859733125,0.644,0.56,2.27136864844941e-148,"Low","PRRC2C"
"PAXX",3.32456059468656e-152,1.5444723083667,0.476,0.313,6.91741322936433e-148,"Low","PAXX"
"SFPQ",5.50006250430597e-152,1.01421141790168,0.667,0.589,1.14439800527094e-147,"Low","SFPQ"
"ZBTB16",1.89667382209867e-151,3.1447023407368,0.264,0.059,3.94640922164071e-147,"Low","ZBTB16"
"RPS18",2.36667668489065e-151,0.452270791607051,0.984,0.944,4.92434417825198e-147,"Low","RPS18"
