"","Hugo_Symbol","High","Low","pval","or","ci.up","ci.low","adjPval"
"400","VPS13B",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"401","AFF2",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"402","ANK1",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"403","ANKHD1-EIF4EBP3",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"404","BPTF",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"405","CEP350",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"406","CFAP61",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"407","CTTNBP2",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"408","DMBT1",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"409","DSCAML1",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"410","EEF1A1",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"411","FSIP2",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"412","IRS4",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"413","KANK1",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"414","LAMA3",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"415","MGA",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"416","MXRA5",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"417","MYO6",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"418","NPAS3",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"419","SPEN",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"420","TRPM6",3,6,0.710792700175663,1.32520864726302,6.35439563591225,0.210273421142624,1
"421","PCLO",10,31,0.71291008154425,0.832543016340932,1.83397659059672,0.348874583948621,1
"422","ATP8A2",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"423","CAND1",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"424","CDH18",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"425","CHD9",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"426","DOCK8",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"427","DSCAM",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"428","EPB41L3",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"429","ERBB4",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"430","GLI3",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"431","GRIA1",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"432","ICE1",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"433","KNDC1",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"434","LAMA2",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"435","LRRC7",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"436","MKI67",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"437","MYO9B",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"438","PCNT",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"439","RP1L1",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"440","TCF20",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"441","ZNF638",2,8,0.733295861833464,0.651732473299969,3.34707970136372,0.0662874571677512,1
"442","BRD7",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"443","CNGA3",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"444","COL16A1",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"445","FGA",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"446","GCN1",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"447","NF1",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"448","PTPRB",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"449","RELN",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"450","TRPA1",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"451","ZNF208",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"452","ZNF536",2,9,0.733970330390966,0.577172395744562,2.86069001665296,0.0596396969521421,1
"453","ATM",4,8,0.742966502793204,1.3286671201212,5.10030792303825,0.285991287785204,1
"454","FCGBP",4,8,0.742966502793204,1.3286671201212,5.10030792303825,0.285991287785204,1
"455","MYH4",4,8,0.742966502793204,1.3286671201212,5.10030792303825,0.285991287785204,1
"456","MYH7",4,8,0.742966502793204,1.3286671201212,5.10030792303825,0.285991287785204,1
"457","MYO18B",4,8,0.742966502793204,1.3286671201212,5.10030792303825,0.285991287785204,1
"458","SVEP1",4,8,0.742966502793204,1.3286671201212,5.10030792303825,0.285991287785204,1
